time,working,cant_mov,cant_on
2020-10-13 08:16:39.783437,60.007965326309204,1,1
2020-10-14 00:00:01.143727,2236.233984708786,52,32
2020-10-15 00:00:01.246060,5230.500458478928,136,68
2020-10-16 00:00:01.353031,8374.17886376381,225,107
2020-10-17 00:00:01.398747,12424.956755161285,350,155
2020-10-18 00:00:01.213818,1310.7620165348053,66,12
2020-10-19 00:00:01.822152,875.6873955726624,26,13
2020-10-20 00:00:01.935167,2475.198293685913,74,33
2020-10-21 00:00:02.003346,5198.886189222336,156,66
2020-10-22 00:00:02.106209,7442.182382106781,225,92
2020-10-23 00:00:02.165541,9469.02376484871,277,117
2020-10-24 00:00:02.195502,12549.57073545456,376,155
2020-10-25 00:00:02.357558,15188.331059455872,435,193
2020-10-26 00:00:02.456262,16987.346054553986,481,219
2020-10-27 00:00:02.556296,18715.443089962006,523,243
2020-10-28 00:00:02.656355,22258.145847558975,622,283
2020-10-29 00:00:02.672911,23051.400094509125,640,294
2020-10-30 00:00:02.689240,23631.66805434227,652,299
2020-10-31 00:00:02.722735,24252.241106033325,667,307
2020-11-01 00:00:02.734851,24914.877886533737,679,317
2020-11-02 00:00:02.807048,25702.711899757385,696,328
