time,distance,litros
2023-05-02 10:33:47.088365,21.85,960.0
2023-05-02 13:41:57.250867,9.09,1035.0
2023-05-02 13:48:00.192721,9.05,1035.0
2023-05-02 13:49:22.730777,16.06,994.0
2023-05-02 13:50:31.732342,16.05,994.0
2023-05-02 13:50:18.995364,37.74,866.0
2023-05-02 13:51:27.380715,39.84,854.0
2023-05-02 13:52:35.525174,37.52,868.0
2023-05-02 13:53:43.631502,37.56,867.0
2023-05-02 13:54:51.752488,48.85,801.0
2023-05-02 18:15:00.126504,48.9,801.0
2023-05-02 18:16:07.478026,48.8,801.0
2023-05-02 18:17:14.788423,43.0,835.0
2023-05-02 18:18:22.090369,48.8,801.0
2023-05-02 18:18:39.121182,39.37,857.0
2023-05-02 18:21:07.909975,38.89,859.0
2023-05-02 18:22:15.220752,38.95,859.0
2023-05-02 18:23:22.564103,39.11,858.0
2023-05-02 18:24:29.873699,41.27,845.0
2023-05-02 18:25:37.225567,41.89,842.0
2023-05-02 18:26:44.592495,41.47,844.0
2023-05-02 18:27:51.910006,41.89,842.0
2023-05-02 18:29:02.269869,42.82,836.0
2023-05-02 18:30:24.437420,40.32,851.0
2023-05-02 18:31:27.591552,29.35,916.0
2023-05-02 18:32:46.062868,7.15,1046.0
2023-05-02 18:33:49.744889,44.18,828.0
2023-05-02 18:34:53.392093,41.22,846.0
2023-05-02 18:35:57.076500,41.25,846.0
2023-05-02 18:37:00.769869,41.21,846.0
2023-05-02 18:38:04.421482,29.35,916.0
2023-05-02 18:39:08.150089,41.16,846.0
2023-05-02 18:40:11.861398,43.84,830.0
2023-05-02 18:41:15.508437,43.81,831.0
2023-05-02 18:42:19.200464,43.82,830.0
2023-05-02 18:43:22.916645,29.38,915.0
2023-05-02 18:44:26.637413,29.42,915.0
2023-05-02 18:45:30.361917,43.8,831.0
2023-05-02 18:46:34.046601,43.87,830.0
2023-05-02 18:47:21.443646,50.34,792.0
2023-05-02 18:48:26.191205,49.43,797.0
2023-05-02 18:49:30.733920,50.28,792.0
2023-05-02 18:50:35.298175,50.23,793.0
2023-05-02 18:51:39.851301,50.27,793.0
2023-05-02 18:52:44.379356,50.22,793.0
2023-05-02 18:53:48.959661,49.9,795.0
2023-05-02 18:54:53.459171,50.21,793.0
2023-05-02 18:55:58.008083,50.25,793.0
2023-05-02 18:57:02.535109,49.59,797.0
2023-05-02 18:58:07.105518,49.88,795.0
